author_id,name,wikipedia_url,birth_year,death_year,created_at
1,"夏目漱石",https://ja.wikipedia.org/wiki/%E5%A4%8F%E7%9B%AE%E6%BC%B1%E7%9F%B3,1867,1916,"2025-06-07 17:02:12"
3,"芥川龍之介",https://ja.wikipedia.org/wiki/%E8%8A%A5%E5%B7%9D%E9%BE%8D%E4%B9%8B%E4%BB%8B,1892,1927,"2025-06-07 17:03:41"
4,"太宰治",https://ja.wikipedia.org/wiki/%E5%A4%AA%E5%AE%B0%E6%B2%BB,1909,1948,"2025-06-07 17:03:46"
20,"樋口一葉",https://ja.wikipedia.org/wiki/%E6%A8%8B%E5%8F%A3%E4%B8%80%E8%91%89,1872,1896,"2025-06-07 17:43:57"
22,"森鴎外",https://ja.wikipedia.org/wiki/%E6%A3%AE%E9%B7%97%E5%A4%96,1862,1922,"2025-06-07 17:43:57"
25,"宮沢賢治",https://ja.wikipedia.org/wiki/%E5%AE%AE%E6%B2%A2%E8%B3%A2%E6%B2%BB,1896,1933,"2025-06-07 17:43:57"
28,"石川啄木",https://ja.wikipedia.org/wiki/%E7%9F%B3%E5%B7%9D%E5%95%84%E6%9C%A8,1886,1912,"2025-06-07 17:44:26"
30,"与謝野晶子",https://ja.wikipedia.org/wiki/%E4%B8%8E%E8%AC%9D%E9%87%8E%E6%99%B6%E5%AD%90,1878,1942,"2025-06-07 17:44:27"
32,"正岡子規",https://ja.wikipedia.org/wiki/%E6%AD%A3%E5%B2%A1%E5%AD%90%E8%A6%8F,1867,1902,"2025-06-07 17:44:27"
34,"小泉八雲",https://ja.wikipedia.org/wiki/%E5%B0%8F%E6%B3%89%E5%85%AB%E9%9B%B2,1850,1904,"2025-06-07 17:44:27"
185,"中原中也",https://ja.wikipedia.org/wiki/%E4%B8%AD%E5%8E%9F%E4%B8%AD%E4%B9%9F,1907,1937,"2025-06-08 16:23:42"
187,"小林多喜二",https://ja.wikipedia.org/wiki/%E5%B0%8F%E6%9E%97%E5%A4%9A%E5%96%9C%E4%BA%8C,1903,1933,"2025-06-08 16:23:56"
188,"川端康成",https://ja.wikipedia.org/wiki/%E5%B7%9D%E7%AB%AF%E5%BA%B7%E6%88%90,1899,1901,"2025-06-08 16:33:53"
189,"三島由紀夫",https://ja.wikipedia.org/wiki/%E4%B8%89%E5%B3%B6%E7%94%B1%E7%B4%80%E5%A4%AB,1970,1970,"2025-06-08 16:34:02"
190,"谷崎潤一郎",https://ja.wikipedia.org/wiki/%E8%B0%B7%E5%B4%8E%E6%BD%A4%E4%B8%80%E9%83%8E,1886,1965,"2025-06-08 16:35:20"
191,"志賀直哉",https://ja.wikipedia.org/wiki/%E5%BF%97%E8%B3%80%E7%9B%B4%E5%93%89,1883,1895,"2025-06-08 16:35:29"
192,"島崎藤村",https://ja.wikipedia.org/wiki/%E5%B3%B6%E5%B4%8E%E8%97%A4%E6%9D%91,1872,1943,"2025-06-08 16:35:37"
193,"永井荷風",https://ja.wikipedia.org/wiki/%E6%B0%B8%E4%BA%95%E8%8D%B7%E9%A2%A8,1879,1959,"2025-06-08 16:35:45"
194,"田山花袋",https://ja.wikipedia.org/wiki/%E7%94%B0%E5%B1%B1%E8%8A%B1%E8%A2%8B,1872,1930,"2025-06-08 16:35:53"
195,"国木田独歩",https://ja.wikipedia.org/wiki/%E5%9B%BD%E6%9C%A8%E7%94%B0%E7%8B%AC%E6%AD%A9,1871,1892,"2025-06-08 16:36:01"
196,"芥川竜之介",,1892,,"2025-06-08 17:08:17"
197,"田中太郎",,1920,1980,"2025-06-08 17:31:06"
